"No.","Time","Source","Destination","Protocol","Length","Info"
"371","45.722831","192.168.56.102","192.168.56.103","TCP","66","57221  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"372","45.722832","192.168.56.102","192.168.56.103","TCP","66","57221  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"373","45.722832","192.168.56.102","192.168.56.103","TCP","66","57221  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"374","45.722832","192.168.56.102","192.168.56.103","TCP","66","57221  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"375","45.722851","192.168.56.103","192.168.56.102","TCP","60","995  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"376","45.722870","192.168.56.103","192.168.56.102","TCP","60","143  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"377","45.722883","192.168.56.103","192.168.56.102","TCP","60","1025  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"378","45.722896","192.168.56.103","192.168.56.102","TCP","60","21  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"379","45.722908","192.168.56.103","192.168.56.102","TCP","60","111  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"380","45.722991","192.168.56.102","192.168.56.103","TCP","66","57221  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"381","45.722991","192.168.56.102","192.168.56.103","TCP","66","57221  >  2043 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"382","45.723004","192.168.56.103","192.168.56.102","TCP","60","445  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"383","45.723023","192.168.56.103","192.168.56.102","TCP","60","2043  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"384","45.723113","192.168.56.102","192.168.56.103","TCP","66","57221  >  9535 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"385","45.723124","192.168.56.103","192.168.56.102","TCP","60","9535  >  57221 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"386","45.724021","192.168.56.102","192.168.56.103","TCP","66","57221  >  563 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"387","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"388","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  6567 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"389","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  37 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"390","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  1174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"391","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  2522 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"392","45.724022","192.168.56.102","192.168.56.103","TCP","66","57221  >  7002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
